09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/address/view/id/{addressId}],methods=[GET]}" onto public java.lang.Object com.enter.controller.AddressController.findAddressById(java.lang.Long) 
09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/address/add],methods=[POST]}" onto public java.lang.Object com.enter.controller.AddressController.addAddress(com.enter.entity.Address) 
09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/address/view],methods=[GET]}" onto public java.lang.Object com.enter.controller.AddressController.listMyAddress(org.springframework.ui.Model) 
09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news/listNews]}" onto public java.lang.String com.enter.controller.NewsController.listNews(org.springframework.ui.Model) 
09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/view/orderNo/{orderNum}],methods=[GET]}" onto public java.lang.String com.enter.controller.OrderController.findOrderById(java.lang.Long,org.springframework.ui.Model) 
09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/generate/three],methods=[POST]}" onto public java.lang.Object com.enter.controller.OrderController.generatedTotalOrder(java.lang.String,java.lang.Long) 
09:17:21.673 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/status/{orderState}],methods=[GET]}" onto public java.lang.String com.enter.controller.OrderController.listMyOrderByStatus(org.springframework.ui.Model,java.lang.String) 
09:17:21.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/generate/two/trolleyIds/{trolleyIds}],methods=[GET]}" onto public java.lang.String com.enter.controller.OrderController.generatedOrder(java.lang.String,org.springframework.ui.Model) 
09:17:21.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/view],methods=[GET]}" onto public java.lang.String com.enter.controller.OrderController.listMyOrder(org.springframework.ui.Model) 
09:17:21.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/generate/one],methods=[POST]}" onto public java.lang.Object com.enter.controller.OrderController.addALLToOrder(java.lang.String) 
09:17:21.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/cancer/{orderNum}],methods=[PUT]}" onto public java.lang.Object com.enter.controller.OrderController.cancerOrders(java.lang.String) 
09:17:21.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/onlinePay/view/{orderNum}],methods=[GET]}" onto public java.lang.String com.enter.controller.OrderController.onlinePay(java.lang.String,org.springframework.ui.Model) 
09:17:21.683 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/orders/nowBuy],methods=[POST]}" onto public java.lang.Object com.enter.controller.OrderController.nowBuy(java.lang.Long,java.lang.Integer,java.lang.String,java.lang.String) 
